Date,Close,High,Low,Open,Volume
2011-11-14,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-15,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-16,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-17,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-18,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,2.496971407713683e+35,0
2011-11-21,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,500
2011-11-22,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-11-23,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-11-25,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-11-28,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-11-29,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-11-30,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-01,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-02,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-05,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-06,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-07,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-08,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-09,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-12,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-13,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-14,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-15,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-16,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-19,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-20,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-21,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-22,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-23,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-27,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,2.606214367314851e+35,0
2011-12-28,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2011-12-29,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2011-12-30,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-03,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-04,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-05,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-06,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-09,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-10,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-11,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-12,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-13,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-17,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,-5.224943813250862e+34,0
2012-01-18,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,150
2012-01-19,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-01-20,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-01-23,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-01-24,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
2012-01-25,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,-5.675477235268304e+34,0
